縣市,年度,服務類別,服務子類別,CMS 等級,性別,人數
新北市,2024,照顧服務,人次總計,第6級,女,2332
新北市,2024,照顧服務,人次總計,第7級,計,3974
新北市,2024,照顧服務,人次總計,第7級,男,1794
新北市,2024,照顧服務,人次總計,第7級,女,2180
新北市,2024,照顧服務,人次總計,第8級,計,4365
新北市,2024,照顧服務,人次總計,第8級,男,1994
新北市,2024,照顧服務,人次總計,第8級,女,2371
新北市,2024,照顧服務,居家服務,合計,計,46924
新北市,2024,照顧服務,居家服務,合計,男,19745
新北市,2024,照顧服務,居家服務,合計,女,27179
新北市,2024,照顧服務,居家服務,第2級,計,9111
新北市,2024,照顧服務,居家服務,第2級,男,3224
新北市,2024,照顧服務,居家服務,第2級,女,5887
新北市,2024,照顧服務,居家服務,第3級,計,9960
新北市,2024,照顧服務,居家服務,第3級,男,3883
新北市,2024,照顧服務,居家服務,第3級,女,6077
新北市,2024,照顧服務,居家服務,第4級,計,9338
新北市,2024,照顧服務,居家服務,第4級,男,3963
新北市,2024,照顧服務,居家服務,第4級,女,5375
新北市,2024,照顧服務,居家服務,第5級,計,6333
新北市,2024,照顧服務,居家服務,第5級,男,3062
新北市,2024,照顧服務,居家服務,第5級,女,3271
新北市,2024,照顧服務,居家服務,第6級,計,3933
新北市,2024,照顧服務,居家服務,第6級,男,1860
新北市,2024,照顧服務,居家服務,第6級,女,2073
新北市,2024,照顧服務,居家服務,第7級,計,3916
新北市,2024,照顧服務,居家服務,第7級,男,1773
新北市,2024,照顧服務,居家服務,第7級,女,2143
新北市,2024,照顧服務,居家服務,第8級,計,4333
新北市,2024,照顧服務,居家服務,第8級,男,1980
新北市,2024,照顧服務,居家服務,第8級,女,2353
新北市,2024,照顧服務,日間照顧服務,合計,計,4878
新北市,2024,照顧服務,日間照顧服務,合計,男,1723
新北市,2024,照顧服務,日間照顧服務,合計,女,3155
新北市,2024,照顧服務,日間照顧服務,第2級,計,780
新北市,2024,照顧服務,日間照顧服務,第2級,男,225
新北市,2024,照顧服務,日間照顧服務,第2級,女,555
新北市,2024,照顧服務,日間照顧服務,第3級,計,1146
新北市,2024,照顧服務,日間照顧服務,第3級,男,375
新北市,2024,照顧服務,日間照顧服務,第3級,女,771
新北市,2024,照顧服務,日間照顧服務,第4級,計,1229
新北市,2024,照顧服務,日間照顧服務,第4級,男,404
新北市,2024,照顧服務,日間照顧服務,第4級,女,825
新北市,2024,照顧服務,日間照顧服務,第5級,計,729
新北市,2024,照顧服務,日間照顧服務,第5級,男,325
新北市,2024,照顧服務,日間照顧服務,第5級,女,404
新北市,2024,照顧服務,日間照顧服務,第6級,計,752
新北市,2024,照顧服務,日間照顧服務,第6級,男,304
新北市,2024,照顧服務,日間照顧服務,第6級,女,448
新北市,2024,照顧服務,日間照顧服務,第7級,計,169
新北市,2024,照顧服務,日間照顧服務,第7級,男,59
新北市,2024,照顧服務,日間照顧服務,第7級,女,110
新北市,2024,照顧服務,日間照顧服務,第8級,計,73
新北市,2024,照顧服務,日間照顧服務,第8級,男,31
新北市,2024,照顧服務,日間照顧服務,第8級,女,42
新北市,2024,照顧服務,家庭托顧,合計,計,37
新北市,2024,照顧服務,家庭托顧,合計,男,11
新北市,2024,照顧服務,家庭托顧,合計,女,26
新北市,2024,照顧服務,家庭托顧,第2級,計,0
新北市,2024,照顧服務,家庭托顧,第2級,男,0
新北市,2024,照顧服務,家庭托顧,第2級,女,0
新北市,2024,照顧服務,家庭托顧,第3級,計,1
新北市,2024,照顧服務,家庭托顧,第3級,男,1
新北市,2024,照顧服務,家庭托顧,第3級,女,0
新北市,2024,照顧服務,家庭托顧,第4級,計,4
新北市,2024,照顧服務,家庭托顧,第4級,男,0
新北市,2024,照顧服務,家庭托顧,第4級,女,4
新北市,2024,照顧服務,家庭托顧,第5級,計,4
新北市,2024,照顧服務,家庭托顧,第5級,男,1
新北市,2024,照顧服務,家庭托顧,第5級,女,3
新北市,2024,照顧服務,家庭托顧,第6級,計,12
新北市,2024,照顧服務,家庭托顧,第6級,男,6
新北市,2024,照顧服務,家庭托顧,第6級,女,6
新北市,2024,照顧服務,家庭托顧,第7級,計,5
新北市,2024,照顧服務,家庭托顧,第7級,男,0
新北市,2024,照顧服務,家庭托顧,第7級,女,5
新北市,2024,照顧服務,家庭托顧,第8級,計,11
新北市,2024,照顧服務,家庭托顧,第8級,男,3
新北市,2024,照顧服務,家庭托顧,第8級,女,8
臺北市,2021,照顧服務,人次總計,合計,計,16991
臺北市,2021,照顧服務,人次總計,合計,男,7071
臺北市,2021,照顧服務,人次總計,合計,女,9920
臺北市,2021,照顧服務,人次總計,第2級,計,2028
臺北市,2021,照顧服務,人次總計,第2級,男,677
臺北市,2021,照顧服務,人次總計,第2級,女,1351
臺北市,2021,照顧服務,人次總計,第3級,計,2549
臺北市,2021,照顧服務,人次總計,第3級,男,940
臺北市,2021,照顧服務,人次總計,第3級,女,1609
臺北市,2021,照顧服務,人次總計,第4級,計,3876
臺北市,2021,照顧服務,人次總計,第4級,男,1528
臺北市,2021,照顧服務,人次總計,第4級,女,2348
臺北市,2021,照顧服務,人次總計,第5級,計,2499
臺北市,2021,照顧服務,人次總計,第5級,男,1157
臺北市,2021,照顧服務,人次總計,第5級,女,1342
臺北市,2021,照顧服務,人次總計,第6級,計,1964
臺北市,2021,照顧服務,人次總計,第6級,男,884
臺北市,2021,照顧服務,人次總計,第6級,女,1080
臺北市,2021,照顧服務,人次總計,第7級,計,2076
臺北市,2021,照顧服務,人次總計,第7級,男,953
臺北市,2021,照顧服務,人次總計,第7級,女,1123
臺北市,2021,照顧服務,人次總計,第8級,計,1999
臺北市,2021,照顧服務,人次總計,第8級,男,932
臺北市,2021,照顧服務,人次總計,第8級,女,1067
臺北市,2021,照顧服務,居家服務,合計,計,15953
臺北市,2021,照顧服務,居家服務,合計,男,6700
臺北市,2021,照顧服務,居家服務,合計,女,9253
臺北市,2021,照顧服務,居家服務,第2級,計,1948
臺北市,2021,照顧服務,居家服務,第2級,男,646
臺北市,2021,照顧服務,居家服務,第2級,女,1302
臺北市,2021,照顧服務,居家服務,第3級,計,2377
臺北市,2021,照顧服務,居家服務,第3級,男,878
臺北市,2021,照顧服務,居家服務,第3級,女,1499
臺北市,2021,照顧服務,居家服務,第4級,計,3589
臺北市,2021,照顧服務,居家服務,第4級,男,1445
臺北市,2021,照顧服務,居家服務,第4級,女,2144
臺北市,2021,照顧服務,居家服務,第5級,計,2317
臺北市,2021,照顧服務,居家服務,第5級,男,1085
臺北市,2021,照顧服務,居家服務,第5級,女,1232
臺北市,2021,照顧服務,居家服務,第6級,計,1708
臺北市,2021,照顧服務,居家服務,第6級,男,779
臺北市,2021,照顧服務,居家服務,第6級,女,929
臺北市,2021,照顧服務,居家服務,第7級,計,2033
臺北市,2021,照顧服務,居家服務,第7級,男,942
臺北市,2021,照顧服務,居家服務,第7級,女,1091
臺北市,2021,照顧服務,居家服務,第8級,計,1981
臺北市,2021,照顧服務,居家服務,第8級,男,925
臺北市,2021,照顧服務,居家服務,第8級,女,1056
臺北市,2021,照顧服務,日間照顧服務,合計,計,1461
臺北市,2021,照顧服務,日間照顧服務,合計,男,501
臺北市,2021,照顧服務,日間照顧服務,合計,女,960
臺北市,2021,照顧服務,日間照顧服務,第2級,計,94
臺北市,2021,照顧服務,日間照顧服務,第2級,男,34
臺北市,2021,照顧服務,日間照顧服務,第2級,女,60
臺北市,2021,照顧服務,日間照顧服務,第3級,計,223
臺北市,2021,照顧服務,日間照顧服務,第3級,男,71
臺北市,2021,照顧服務,日間照顧服務,第3級,女,152
臺北市,2021,照顧服務,日間照顧服務,第4級,計,417
臺北市,2021,照顧服務,日間照顧服務,第4級,男,117
臺北市,2021,照顧服務,日間照顧服務,第4級,女,300
臺北市,2021,照顧服務,日間照顧服務,第5級,計,245
臺北市,2021,照顧服務,日間照顧服務,第5級,男,93
臺北市,2021,照顧服務,日間照顧服務,第5級,女,152
臺北市,2021,照顧服務,日間照顧服務,第6級,計,378
臺北市,2021,照顧服務,日間照顧服務,第6級,男,149
臺北市,2021,照顧服務,日間照顧服務,第6級,女,229
臺北市,2021,照顧服務,日間照顧服務,第7級,計,69
臺北市,2021,照顧服務,日間照顧服務,第7級,男,21
臺北市,2021,照顧服務,日間照顧服務,第7級,女,48
臺北市,2021,照顧服務,日間照顧服務,第8級,計,35
臺北市,2021,照顧服務,日間照顧服務,第8級,男,16
臺北市,2021,照顧服務,日間照顧服務,第8級,女,19
臺北市,2021,照顧服務,家庭托顧,合計,計,33
臺北市,2021,照顧服務,家庭托顧,合計,男,16
臺北市,2021,照顧服務,家庭托顧,合計,女,17
臺北市,2021,照顧服務,家庭托顧,第2級,計,0
臺北市,2021,照顧服務,家庭托顧,第2級,男,0
臺北市,2021,照顧服務,家庭托顧,第2級,女,0
臺北市,2021,照顧服務,家庭托顧,第3級,計,2
臺北市,2021,照顧服務,家庭托顧,第3級,男,1
臺北市,2021,照顧服務,家庭托顧,第3級,女,1
臺北市,2021,照顧服務,家庭托顧,第4級,計,5
臺北市,2021,照顧服務,家庭托顧,第4級,男,2
臺北市,2021,照顧服務,家庭托顧,第4級,女,3
臺北市,2021,照顧服務,家庭托顧,第5級,計,4
臺北市,2021,照顧服務,家庭托顧,第5級,男,2
臺北市,2021,照顧服務,家庭托顧,第5級,女,2
臺北市,2021,照顧服務,家庭托顧,第6級,計,13
臺北市,2021,照顧服務,家庭托顧,第6級,男,8
臺北市,2021,照顧服務,家庭托顧,第6級,女,5
臺北市,2021,照顧服務,家庭托顧,第7級,計,6
臺北市,2021,照顧服務,家庭托顧,第7級,男,2
臺北市,2021,照顧服務,家庭托顧,第7級,女,4
臺北市,2021,照顧服務,家庭托顧,第8級,計,3
臺北市,2021,照顧服務,家庭托顧,第8級,男,1
臺北市,2021,照顧服務,家庭托顧,第8級,女,2
臺北市,2022,照顧服務,人次總計,合計,計,20333
臺北市,2022,照顧服務,人次總計,合計,男,8354
臺北市,2022,照顧服務,人次總計,合計,女,11979
臺北市,2022,照顧服務,人次總計,第2級,計,2397
臺北市,2022,照顧服務,人次總計,第2級,男,755
臺北市,2022,照顧服務,人次總計,第2級,女,1642
臺北市,2022,照顧服務,人次總計,第3級,計,3106
臺北市,2022,照顧服務,人次總計,第3級,男,1160
臺北市,2022,照顧服務,人次總計,第3級,女,1946
臺北市,2022,照顧服務,人次總計,第4級,計,4644
臺北市,2022,照顧服務,人次總計,第4級,男,1803
臺北市,2022,照顧服務,人次總計,第4級,女,2841
臺北市,2022,照顧服務,人次總計,第5級,計,2999
臺北市,2022,照顧服務,人次總計,第5級,男,1400
臺北市,2022,照顧服務,人次總計,第5級,女,1599
臺北市,2022,照顧服務,人次總計,第6級,計,2225
臺北市,2022,照顧服務,人次總計,第6級,男,985
