機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
台灣健康社區自主發展協會,BF0100008,BF,臺北市,士林區,臺北市士林區三玉里德行東路203巷2號1樓,121.5321426392,25.1092453003,C,巷弄長照站
台灣基督長老教會馬偕醫療財團法人附設臺北市私立大同昌吉社區長照機構,2S0100017,2,臺北市,大同區,臺北市大同區蓬萊里昌吉街52號9至10樓,121.5163421631,25.0658149719,B,日間照顧服務
台灣基督長老教會馬偕醫療財團法人附設馬偕居家護理所,B10100028,B1,臺北市,中山區,臺北市中山區健民中山北路二段96巷9號,121.5222244263,25.0598907471,B,居家失能個案家庭醫師照護服務
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,B20100005,B2,臺北市,中山區,臺北市中山區中山北路二段92號,121.5223693848,25.0588321686,A,個案管理服務
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,B20100005,B2,臺北市,中山區,臺北市中山區中山北路二段92號,121.5223693848,25.0588321686,B,專業照護服務;營養餐飲服務
台灣居護股份有限公司附設臺北市私立聯承居家長照機構,1R0100025,1,臺北市,大安區,臺北市大安區義村里忠孝東路3段136號11樓1102辦公室,121.5377883911,25.0415019989,B,居家服務;喘息服務
台灣旺齡協會,BF0100031,BF,臺北市,中正區,臺北市中正區頂東里羅斯福路3段84巷13號1樓,121.5260620117,25.0213680267,B,喘息服務
台灣旺齡協會,BF0100031,BF,臺北市,中正區,臺北市中正區頂東里羅斯福路3段84巷13號1樓,121.5260620117,25.0213680267,C,巷弄長照站
台灣樂康協會,BA0100034,BA,臺北市,松山區,臺北市松山區三民路113巷12號6樓,121.5624313354,25.0580596924,B,交通接送服務(DA01)
台灣聽力語言學會,B70100001,B7,臺北市,中山區,臺北市中山區健民雙城街4巷2號,121.5241622925,25.0632743835,B,專業照護服務
台灣迦美福音傳播協會,BF0100152,BF,臺北市,文山區,臺北市文山區景華里三福街74巷2號1樓,121.5443572998,24.9976539612,C,巷弄長照站
合康居家護理所,B10100023,B1,臺北市,萬華區,臺北市萬華區富福里和平西路三段396號1樓,121.503364563,25.0300426483,B,專業照護服務;居家失能個案家庭醫師照護服務
吉盛交通股份有限公司,BA0100032,BA,臺北市,北投區,臺北市北投區育仁路155之1號2樓,121.5006484985,25.1367702484,B,交通接送服務(DA01)
吉馨安居家護理所,B10100021,B1,臺北市,大同區,臺北市大同區甘州路51號4樓,121.512878418,25.0596485138,B,專業照護服務
同仁醫療財團法人萬華醫院,B20100026,B2,臺北市,萬華區,臺北市萬華區騰雲里中華路2段606巷6號,121.5098190308,25.0239982605,B,專業照護服務
同仁醫療財團法人萬華醫院,B20100100,B2,臺北市,萬華區,臺北市萬華區中華路2段606巷6號,121.5098266602,25.0240497589,B,專業照護服務
同仁院醫療財團法人萬華醫院附設居家護理所,B10100054,B1,臺北市,萬華區,臺北市萬華區中華路2段606巷6號,121.5098266602,25.0240497589,B,專業照護服務
同仁院醫療財團法人附設居家護理所,B10100036,B1,臺北市,萬華區,臺北市萬華區中華路2段606巷6號6樓,121.5098190308,25.0239982605,B,專業照護服務
同仁院醫療財團法人附設居家護理所,B10100048,B1,臺北市,萬華區,臺北市萬華區騰雲里中華路2段606巷6號,121.5098190308,25.0239982605,B,專業照護服務
哈佛物理治療所,B40100005,B4,臺北市,萬華區,臺北市萬華區西圓路二段362號7樓,121.4916000366,25.0254077911,B,專業照護服務
善新健康事業有限公司附設臺北市私立善新居家長照機構,1R0100072,1,臺北市,萬華區,臺北市萬華區萬壽里昆明街 35-1號5樓,121.505355835,25.0445957184,B,居家服務
